chart_week,current_week,title,performer,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,time_signature,duration_ms,genres
2022-01-01,1,All I Want For Christmas Is You,Mariah Carey,0.336,0.627,-7.463,0.0384,0.164,0.0708,150.273,0.35,4,241107,"['dance pop', 'pop', 'urban contemporary']"
2022-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee,0.598,0.47,-8.744,0.0496,0.617,0.505,67.086,0.879,4,126267,"['adult standards', 'lounge', 'rockabilly']"
2022-01-01,3,Jingle Bell Rock,Bobby Helms,0.754,0.424,-8.463,0.0363,0.643,0.0652,119.705,0.806,4,130973,[]
2022-01-01,4,A Holly Jolly Christmas,Burl Ives,0.682,0.375,-13.056,0.0303,0.579,0.076,140.453,0.888,4,135533,"['adult standards', 'american folk revival']"
2022-01-01,5,Easy On Me,Adele,0.604,0.366,-7.519,0.0282,0.578,0.133,141.981,0.13,4,224695,"['british soul', 'pop', 'pop soul', 'uk pop']"
2022-01-01,6,It's The Most Wonderful Time Of The Year,Andy Williams,0.24,0.598,-8.435,0.0369,0.766,0.117,201.629,0.776,3,151933,"['adult standards', 'easy listening']"
2022-01-01,7,Last Christmas,Wham!,0.735,0.478,-12.472,0.0293,0.189,0.355,107.682,0.947,4,262960,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
2022-01-01,8,Feliz Navidad,Jose Feliciano,0.513,0.831,-9.004,0.0383,0.55,0.336,148.837,0.963,4,182067,"['latin pop', 'puerto rican pop']"
2022-01-01,9,Stay,The Kid LAROI & Justin Bieber,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,0.478,4,141806,['australian hip hop']
2022-01-01,10,Sleigh Ride,The Ronettes,0.529,0.772,-7.013,0.0287,0.403,0.316,91.751,0.853,4,181267,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']"
2022-01-08,1,All I Want For Christmas Is You,Mariah Carey,0.336,0.627,-7.463,0.0384,0.164,0.0708,150.273,0.35,4,241107,"['dance pop', 'pop', 'urban contemporary']"
2022-01-08,2,Easy On Me,Adele,0.604,0.366,-7.519,0.0282,0.578,0.133,141.981,0.13,4,224695,"['british soul', 'pop', 'pop soul', 'uk pop']"
2022-01-08,3,Rockin' Around The Christmas Tree,Brenda Lee,0.598,0.47,-8.744,0.0496,0.617,0.505,67.086,0.879,4,126267,"['adult standards', 'lounge', 'rockabilly']"
2022-01-08,4,Jingle Bell Rock,Bobby Helms,0.754,0.424,-8.463,0.0363,0.643,0.0652,119.705,0.806,4,130973,[]
2022-01-08,5,A Holly Jolly Christmas,Burl Ives,0.682,0.375,-13.056,0.0303,0.579,0.076,140.453,0.888,4,135533,"['adult standards', 'american folk revival']"
2022-01-08,6,Stay,The Kid LAROI & Justin Bieber,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,0.478,4,141806,['australian hip hop']
2022-01-08,7,Heat Waves,Glass Animals,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,0.531,4,238805,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
