,Event,Category
2022-01-27,The Northeast experiences a major blizzard which stretches from Delaware to Nova Scotia.,Weather
2022-02-01,"February 2022 North American winter storm: A major winter storm, known colloquially as Winter Storm Landon or the Groundhog Snowstorm, affects much of the eastern and Midwest from Texas to Maine, with Alabama receiving concurrent tornadoes as well.",Weather
2022-02-03,"The share price of Meta falls by 26.4%, with Facebook losing $230bn in its market value, the biggest one-day loss in history for a US company. This follows an earnings report showing the company's first ever drop in daily user numbers.",Economic
2022-02-24,"President Biden announces new, stronger sanctions that will 'impose severe cost on the Russian economy, both immediately and over time.' He condemns President Vladimir Putin's invasion of Ukraine, calling him an 'aggressor'.",Political
2022-02-26,President Biden signs an order to provide $600 million of military assistance to Ukraine.,Political
2022-03-11,"According to the CDC, United States declared the end of COVID-19 pandemic after two years of serious outbreak, for example: lifted all restrictions up and then the country's transition to the endemic phase from Deltacron hybrid variant.",Health
2022-04-07,"The Senate unanimously passes legislation to ban imports of oil, gas, and coal from Russia.",Political
2022-04-25,"After weeks of speculation, Elon Musk proposes to acquire social media website Twitter for $44 billion.",Economic
2022-05-02,"A bombshell report by Politico leaks the Supreme Court's draft opinion for Dobbs v. Jackson Women's Health Organization. In the opinion, Associate Justice Samuel Alito writes a majority opinion overturning the landmark decisions in the cases of both Roe v. Wade and Planned Parenthood v. Casey, which would thereby remove constitutional protections for abortion access.",Political
2022-05-14,"Across the country, in response to the Dobbs v. Jackson draft opinion leak, thousands of people protest in defense of abortion rights.",Social
2022-05-17,"The House of Representatives holds a hearing on UFOs, the first such hearing in over fifty years.",Political
2022-05-24,"In one of the deadliest school shootings in American history, nineteen children and two adults are killed in a shooting at Robb Elementary School in Uvalde, Texas. The 18-year-old shooter is killed at the scene in a shootout with police.",Violence
2022-05-26,"In response to the Robb Elementary School shooting, students around the country walk out of classes to protest inaction over gun violence on the part of the government.",Social
2022-05-27,The Forest Service admits that it started the two forest fires that escalated into the largest wildfire in New Mexico state history. Governor Michelle Lujan Grisham is subsequently compelled to demand the federal government to take full responsibility for the disaster.,Environmental
2022-06-10,COVID-19 pandemic: Biden administration announces that America has lifted COVID-19 testing restrictions for international travel.,Health
2022-06-20,President Biden calls on Congress to pass a three-month-long gas and diesel tax holiday as a proposal to lower the cost of fuel.,Economic
2022-06-23,"The Senate passes the Bipartisan Safer Communities Act, the first major gun reform legislation in decades.",Political
2022-06-24,"The Supreme Court rules that the Constitution does not confer a right to abortion, thus overruling the 1973 case Roe v. Wade, and its related 1992 case Planned Parenthood v. Casey. Protests erupt across nearly every major city in the United States.",Political
2022-06-30,The Supreme Court rules that the Environmental Protection Agency is limited in its capacity to regulate power plants' carbon emissions under federal law.,Political
2022-07-10,President Biden says that he is considering the declaration of a public health emergency over the lack of access to abortion and weighing the possibility of funding by the federal government in response to the earlier decision of the Supreme Court on the matter.,Political
2022-07-11,The first image from the James Webb Space Telescope is published by NASA.,Science
2022-07-13,Inflation rises to a record 9.1 percent.,Economic
